,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1397,Darren Bravo,1,1,1,6,6*,0.0,5,120.0,0,0,1,0
1398,Iqbal Abdulla,2,1,1,5,5*,0.0,7,71.42,0,0,0,0
1399,Adam Zampa,6,1,0,5,5,5.0,7,71.42,0,0,1,0
1400,Trent Boult,6,1,1,5,5*,0.0,8,62.5,0,0,0,0
1401,Zaheer Khan,11,3,2,4,2,4.0,13,30.76,0,0,0,0
1402,Bhuvneshwar Kumar,14,2,1,4,4*,4.0,4,100.0,0,0,0,0
1403,Varun Aaron,6,2,1,4,4,4.0,10,40.0,0,0,0,0
1404,Ankit Rajpoot,5,1,0,4,4,4.0,7,57.14,0,0,1,0
1405,Rahul Chahar,3,1,1,3,3*,0.0,2,150.0,0,0,0,0
1406,Shahbaz Nadeem,7,4,1,2,2,0.66,9,22.22,0,0,0,0
1407,KC Cariappa,4,2,0,2,1,1.0,7,28.57,0,0,0,0
1408,Jaydev Unadkat,12,2,2,2,2*,0.0,5,40.0,0,0,0,0
1409,Mohammad Nabi,3,1,0,2,2,2.0,3,66.66,0,0,0,0
1410,Piyush Chawla,6,1,0,2,2,2.0,6,33.33,0,0,0,0
1411,Irfan Pathan,1,1,0,2,2,2.0,3,66.66,0,0,0,0
1412,Pradeep Sangwan,5,3,1,2,1*,1.0,4,50.0,0,0,0,0
1413,Dhawal Kulkarni,6,1,0,1,1,1.0,2,50.0,0,0,0,0
1414,Lockie Ferguson,4,1,1,1,1*,0.0,1,100.0,0,0,0,0
1415,Shakib Al Hasan,1,1,1,1,1*,0.0,1,100.0,0,0,0,0
1416,Shardul Thakur,12,3,0,0,0*,0.0,3,0.0,0,0,0,0
1417,Siddarth Kaul,10,1,1,0,0*,0.0,2,0.0,0,0,0,0
1418,Munaf Patel,2,1,0,0,0*,0.0,1,0.0,0,0,0,0
1419,Akshdeep Nath,1,1,0,0,0*,0.0,1,0.0,0,0,0,0
1420,Chris Jordan,1,1,0,0,0*,0.0,1,0.0,0,0,0,0
1421,Imran Tahir,12,1,1,0,0*,0.0,2,0.0,0,0,0,0
1422,Kane Williamson,17,17,3,735,84,52.5,516,142.44,0,8,64,28
1423,Rishabh Pant,14,14,1,684,128*,52.61,394,173.6,1,5,68,37
1424,KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,66,32
1425,Ambati Rayudu,16,16,2,602,100*,43.0,402,149.75,1,3,53,34
1426,Shane Watson,15,15,1,555,117*,39.64,359,154.59,2,2,44,35
1427,Jos Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,52,21
1428,Virat Kohli,14,14,3,530,92*,48.18,381,139.1,0,4,52,18
1429,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16
1430,Dinesh Karthik,16,16,6,498,52,49.8,337,147.77,0,2,49,16
1431,Shikhar Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,59,14
1432,Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18
1433,AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,39,30
1434,MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,24,30
1435,Suresh Raina,15,15,3,445,75*,37.08,336,132.44,0,4,46,12
1436,Sanju Samson,15,15,1,441,92*,31.5,320,137.81,0,3,30,19
1437,Shreyas Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,29,21
1438,Evin Lewis,13,13,0,382,65,29.38,276,138.4,0,2,32,24
1439,Ajinkya Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,39,5
1440,Chris Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,30,27
1441,Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23
1442,Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21
1443,Andre Russell,16,14,3,316,88*,28.72,171,184.79,0,1,17,31
1444,Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14
1445,Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13
1446,Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12
1447,Manish Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,22,5
1448,Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17
1449,Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11
1450,Yusuf Pathan,15,13,4,260,45*,28.88,200,130.0,0,0,22,11
1451,Mandeep Singh,14,13,3,252,47*,25.2,186,135.48,0,0,16,11
1452,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10
1453,Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5
1454,Krunal Pandya,14,13,3,228,41*,22.8,157,145.22,0,0,22,10
1455,Rahul Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,18,8
1456,Vijay Shankar,13,11,7,212,54*,53.0,148,143.24,0,1,11,11
1457,Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,22,5
1458,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8
1459,Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6
1460,Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9
1461,Faf du Plessis,6,6,1,162,67*,32.4,129,125.58,0,1,17,6
1462,Parthiv Patel,6,6,1,153,53,30.6,109,140.36,0,1,20,4
1463,Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6
1464,Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10
1465,Aaron Finch,10,9,1,134,46,16.75,100,134.0,0,0,6,8
1466,Kieron Pollard,9,8,1,133,50,19.0,100,133.0,0,1,10,7
1467,Colin de Grandhomme,9,8,3,131,40,26.2,84,155.95,0,0,4,10
1468,Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6
1469,Krishnappa Gowtham,15,13,4,126,33*,14.0,64,196.87,0,0,9,9
1470,Wriddhiman Saha,11,10,2,122,35,15.25,102,119.6,0,0,17,1
1471,Jason Roy,5,5,1,120,91*,30.0,94,127.65,0,1,9,7
1472,Mayank Agarwal,11,11,1,120,30,12.0,94,127.65,0,0,9,5
1473,D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5
1474,Sam Billings,10,8,0,108,56,13.5,78,138.46,0,1,8,5
1475,Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5
1476,Marcus Stoinis,7,7,3,99,29*,24.75,76,130.26,0,0,6,4
1477,Ben Cutting,9,6,2,96,37,24.0,58,165.51,0,0,5,8
1478,Ravindra Jadeja,16,10,5,89,27*,17.8,74,120.27,0,0,3,4
1479,Deepak Hooda,9,8,4,87,32*,21.75,81,107.4,0,0,2,3
1480,Gautam Gambhir,6,5,0,85,55,17.0,88,96.59,0,1,8,1
1481,Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4
1482,Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6
1483,Carlos Brathwaite,4,4,1,75,43*,25.0,48,156.25,0,0,1,8
1484,David Miller,3,3,1,74,26,37.0,64,115.62,0,0,3,2
1485,Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4
1486,Yuvraj Singh,8,6,0,65,20,10.83,73,89.04,0,0,6,2
1487,Abhishek Sharma,3,3,2,63,46*,63.0,33,190.9,0,0,3,5
1488,Colin Munro,5,5,0,63,33,12.6,41,153.65,0,0,7,4
1489,Harshal Patel,5,2,1,60,36*,60.0,33,181.81,0,0,1,6
1490,Rashid Khan,17,7,2,59,34*,11.8,31,190.32,0,0,3,6
1491,Heinrich Klaasen,4,4,1,57,32,19.0,47,121.27,0,0,5,1
1492,Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4
1493,Tim Southee,8,4,2,52,36*,26.0,46,113.04,0,0,5,1
1494,Shreevats Goswami,6,3,0,52,35,17.33,40,130.0,0,0,6,1
1495,Sarfaraz Khan,7,6,1,51,22*,10.2,41,124.39,0,0,7,1
1496,Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4
1497,Shreyas Gopal,11,4,1,50,24,16.66,45,111.11,0,0,5,0
1498,Rahul Tewatia,8,5,2,50,24,16.66,43,116.27,0,0,5,1
1499,Jaydev Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,6,1
1500,Manoj Tiwary,5,4,1,47,35,15.66,44,106.81,0,0,4,1
1501,Chris Morris,4,4,3,46,27*,46.0,26,176.92,0,0,3,2
1502,Stuart Binny,7,5,0,44,22,8.8,39,112.82,0,0,2,2
1503,JP Duminy,6,4,3,36,23,36.0,40,90.0,0,0,3,1
1504,Andrew Tye,14,8,2,32,14,5.33,38,84.21,0,0,2,1
1505,Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1
1506,Rinku Singh,4,4,0,29,16,7.25,31,93.54,0,0,4,0
1507,Piyush Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1
1508,Dan Christian,4,3,1,26,13,13.0,33,78.78,0,0,0,1
1509,Mohammed Siraj,11,4,2,25,14,12.5,22,113.63,0,0,2,1
1510,Kedar Jadhav,1,1,1,24,24*,0.0,22,109.09,0,0,1,2
1511,Tom Curran,5,4,1,23,18,7.66,28,82.14,0,0,3,0
1512,Mayank Markande,14,6,4,21,7*,10.5,24,87.5,0,0,2,0
1513,Mahipal Lomror,2,2,1,20,11,20.0,21,95.23,0,0,1,0
1514,Mohammad Nabi,2,2,0,18,14,9.0,12,150.0,0,0,3,0
1515,Chris Woakes,5,4,2,17,11,8.5,19,89.47,0,0,1,1
1516,Corey Anderson,3,3,0,17,15,5.66,22,77.27,0,0,0,1
1517,Mitchell Johnson,6,2,2,16,12*,0.0,11,145.45,0,0,2,0
1518,Shardul Thakur,13,1,1,15,15*,0.0,5,300.0,0,0,3,0
1519,Jofra Archer,10,8,3,15,8,3.0,21,71.42,0,0,2,0
1520,Bhuvneshwar Kumar,12,4,2,13,7,6.5,16,81.25,0,0,1,0
1521,Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,0
1522,Kuldeep Yadav,16,3,2,12,7*,12.0,24,50.0,0,0,1,0
1523,Murali Vijay,1,1,0,12,12,12.0,10,120.0,0,0,0,1
1524,Mitchell McClenaghan,11,5,3,11,11*,5.5,10,110.0,0,0,1,1
1525,Ankit Rajpoot,8,3,0,11,8,3.66,18,61.11,0,0,1,0
1526,Jasprit Bumrah,14,3,2,10,6*,10.0,11,90.9,0,0,1,0
1527,Mujeeb Ur Rahman,11,2,1,10,10*,10.0,7,142.85,0,0,2,0
1528,Mohit Sharma,9,4,3,10,4*,10.0,13,76.92,0,0,1,0
1529,Akshdeep Nath,1,1,0,9,9,9.0,13,69.23,0,0,1,0
1530,Dhruv Shorey,1,1,0,8,8,8.0,9,88.88,0,0,0,1
1531,Prashant Chopra,1,1,0,8,8,8.0,6,133.33,0,0,2,0
1532,Javon Searles,4,2,1,8,6*,8.0,6,133.33,0,0,0,1
1533,Mohammad Shami,4,1,0,7,7,7.0,6,116.66,0,0,1,0
1534,Vinay Kumar,2,1,1,6,6*,0.0,3,200.0,0,0,1,0
1535,Dhawal Kulkarni,8,2,1,6,3*,6.0,7,85.71,0,0,0,0
1536,Shahbaz Nadeem,6,1,1,6,6*,0.0,8,75.0,0,0,0,0
1537,Billy Stanlake,4,1,1,5,5*,0.0,2,250.0,0,0,1,0
1538,Akila Dananjaya,1,1,1,4,4*,0.0,5,80.0,0,0,0,0
1539,Umesh Yadav,14,5,1,3,1*,0.75,11,27.27,0,0,0,0
1540,Siddarth Kaul,17,4,1,3,2,1.0,14,21.42,0,0,0,0
1541,Pawan Negi,2,2,0,3,3,1.5,5,60.0,0,0,0,0
1542,Barinder Sran,6,4,3,3,2,3.0,7,42.85,0,0,0,0
1543,Basil Thampi,4,2,1,3,3,3.0,6,50.0,0,0,0,0
1544,Anureet Singh,3,1,1,3,3*,0.0,4,75.0,0,0,0,0
1545,Imran Tahir,6,1,1,2,2*,0.0,2,100.0,0,0,0,0
1546,Mark Wood,1,1,0,1,1,1.0,3,33.33,0,0,0,0
1547,Mustafizur Rahman,7,2,1,1,1,1.0,3,33.33,0,0,0,0
1548,Ben Laughlin,7,2,1,1,1*,1.0,4,25.0,0,0,0,0
1549,Liam Plunkett,7,2,1,1,1*,1.0,3,33.33,0,0,0,0
1550,Ish Sodhi,6,1,0,1,1,1.0,6,16.66,0,0,0,0
1551,Murugan Ashwin,2,1,0,1,1,1.0,2,50.0,0,0,0,0
1552,Naman Ojha,1,1,0,1,1,1.0,4,25.0,0,0,0,0
1553,Prasidh Krishna,7,2,2,1,1*,0.0,5,20.0,0,0,0,0
1554,Amit Mishra,10,1,1,1,1*,0.0,2,50.0,0,0,0,0
1555,Yuzvendra Chahal,14,1,1,0,0*,0.0,4,0.0,0,0,0,0
1556,Pradeep Sangwan,1,1,0,0,0*,0.0,4,0.0,0,0,0,0
1557,Sandeep Sharma,12,3,1,0,0*,0.0,4,0.0,0,0,0,0
1558,Ricky Bhui,1,1,0,0,0*,0.0,5,0.0,0,0,0,0
1559,Trent Boult,14,1,0,0,0*,0.0,2,0.0,0,0,0,0
1560,David Warner,12,12,2,692,100*,69.2,481,143.86,1,8,57,21
1561,KL Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,49,25
1562,Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25
1563,Shikhar Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11
1564,Andre Russell,14,13,4,510,80*,56.66,249,204.81,0,4,31,52
1565,Chris Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,45,34
1566,Rishabh Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27
1567,Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13
1568,Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14
1569,Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18
1570,AB de Villiers,13,13,3,442,82*,44.2,287,154.0,0,5,31,26
1571,Suryakumar Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,45,10
1572,MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23
1573,Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22
1574,Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10
1575,Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29
1576,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20
1577,Faf du Plessis,12,12,1,396,96,36.0,321,123.36,0,3,36,15
1578,Ajinkya Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,45,9
1579,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9
1580,Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10
1581,Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9
1582,Manish Pandey,12,11,3,344,83*,43.0,263,130.79,0,3,34,6
1583,Nitish Rana,14,11,1,344,85*,34.4,235,146.38,0,3,27,21
1584,Sanju Samson,12,12,2,342,102*,34.2,230,148.69,1,0,28,13
1585,Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14
1586,Steve Smith,12,10,2,319,73*,39.87,275,116.0,0,3,30,4
1587,Jos Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14
1588,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10
1589,Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7
1590,Robin Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,28,10
1591,Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22
1592,Dinesh Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,22,14
1593,Vijay Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,11,12
1594,Moeen Ali,11,10,2,220,66,27.5,133,165.41,0,2,16,17
1595,David Miller,10,10,2,213,59*,26.62,164,129.87,0,1,19,7
1596,Marcus Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,14,10
1597,Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5
1598,Krunal Pandya,16,15,4,183,42,16.63,150,122.0,0,0,18,5
1599,Sarfaraz Khan,8,5,1,180,67,45.0,143,125.87,0,1,19,4
1600,Nicholas Pooran,7,6,0,168,48,28.0,107,157.0,0,0,10,14
1601,Mandeep Singh,13,12,8,165,33*,41.25,120,137.5,0,0,10,4
1602,Kedar Jadhav,14,12,3,162,58,18.0,169,95.85,0,1,19,3
1603,Riyan Parag,7,5,0,160,50,32.0,126,126.98,0,1,17,5
1604,Kane Williamson,9,9,2,156,70*,22.28,130,120.0,0,1,12,5
1605,Sunil Narine,12,9,1,143,47,17.87,86,166.27,0,0,17,9
1606,Rahul Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,13,2
1607,Ben Stokes,9,9,3,123,46,20.5,99,124.24,0,0,8,4
1608,Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,8,7
1609,Axar Patel,14,12,6,110,26,18.33,88,125.0,0,0,10,3
1610,Ravindra Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4
1611,Ishan Kishan,7,6,0,101,28,16.83,100,101.0,0,0,8,4
1612,Yuvraj Singh,4,4,0,98,53,24.5,75,130.66,0,1,7,6
1613,Gurkeerat Mann Singh,3,3,0,98,65,32.66,70,140.0,0,1,11,2
1614,Sam Curran,9,8,4,95,55*,23.75,55,172.72,0,1,13,3
1615,Shimron Hetmyer,5,5,0,90,75,18.0,73,123.28,0,1,4,7
1616,Wriddhiman Saha,5,5,0,86,28,17.2,53,162.26,0,0,13,1
1617,Colin Munro,4,4,0,84,40,21.0,70,120.0,0,0,9,4
1618,Martin Guptill,3,3,0,81,36,27.0,53,152.83,0,0,4,7
1619,Dwayne Bravo,12,9,4,80,27,16.0,66,121.21,0,0,6,3
1620,Sherfane Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7
1621,Liam Livingstone,4,4,1,71,44,23.66,48,147.91,0,0,6,5
1622,Stuart Binny,8,5,2,70,33*,23.33,40,175.0,0,0,5,4
1623,Jofra Archer,11,5,3,67,27*,33.5,40,167.5,0,0,4,4
1624,Deepak Hooda,11,7,1,64,20,10.66,63,101.58,0,0,5,1
1625,Murali Vijay,2,2,0,64,38,32.0,61,104.91,0,0,6,1
1626,Shreyas Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,8,1
1627,Akshdeep Nath,8,5,0,61,24,12.2,57,107.01,0,0,5,2
1628,Evin Lewis,3,3,0,48,32,16.0,52,92.3,0,0,4,2
1629,Colin de Grandhomme,4,4,1,46,37,15.33,49,93.87,0,0,4,2
1630,Piyush Chawla,13,5,2,42,14*,14.0,37,113.51,0,0,4,2
1631,Ravichandran Ashwin,14,6,1,42,17*,8.4,28,150.0,0,0,3,3
1632,Shivam Dube,4,4,1,40,24,13.33,33,121.21,0,0,1,3
1633,Yusuf Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1
1634,Rinku Singh,5,3,1,37,30,18.5,34,108.82,0,0,1,2
1635,Rashid Khan,15,8,3,34,17*,6.8,23,147.82,0,0,2,2
1636,Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2
1637,Mitchell Santner,4,2,1,32,22,32.0,23,139.13,0,0,0,3
1638,Rahul Tewatia,5,4,3,26,11*,26.0,22,118.18,0,0,2,1
1639,Umesh Yadav,11,7,5,25,14,12.5,25,100.0,0,0,3,1
1640,Amit Mishra,11,4,2,21,8,10.5,24,87.5,0,0,2,0
1641,Harpreet Brar,2,1,1,20,20*,0.0,12,166.66,0,0,2,1
1642,Prayas Ray Barman,1,1,0,19,19,19.0,24,79.16,0,0,2,0
1643,Keemo Paul,8,6,1,18,7,3.6,24,75.0,0,0,1,1
1644,Ben Cutting,3,3,1,18,13*,9.0,17,105.88,0,0,1,1
1645,Krishnappa Gowtham,7,4,1,18,9,6.0,19,94.73,0,0,1,1
1646,Prabhsimran Singh,1,1,0,16,16,16.0,17,94.11,0,0,1,1
1647,Alzarri Joseph,3,2,2,15,15*,0.0,13,115.38,0,0,2,0
1648,Siddhesh Lad,1,1,0,15,15,15.0,13,115.38,0,0,1,1
1649,Shardul Thakur,10,3,1,14,12*,7.0,7,200.0,0,0,1,1
1650,Kagiso Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1
1651,Bhuvneshwar Kumar,15,5,2,12,7*,4.0,19,63.15,0,0,1,0
1652,Kuldeep Yadav,9,4,2,12,10*,6.0,8,150.0,0,0,1,0
1653,Rahul Chahar,13,4,2,12,10,6.0,11,109.09,0,0,2,0
1654,Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0
1655,Carlos Brathwaite,2,2,0,11,6,5.5,10,110.0,0,0,1,0
1656,Ishant Sharma,13,3,3,10,10*,0.0,3,333.33,0,0,1,1
1657,Shakib Al Hasan,3,1,0,9,9,9.0,10,90.0,0,0,0,0
1658,Pawan Negi,7,4,0,9,5,2.25,12,75.0,0,0,1,0
1659,Tim Southee,3,1,1,9,9*,0.0,9,100.0,0,0,0,0
1660,Abhishek Sharma,3,3,1,9,5*,4.5,9,100.0,0,0,1,0
1661,Heinrich Klaasen,3,2,0,9,6,4.5,10,90.0,0,0,0,0
1662,KC Cariappa,1,1,1,9,9*,0.0,3,300.0,0,0,0,1
1663,Mahipal Lomror,2,1,0,8,8,8.0,3,266.66,0,0,2,0
1664,Deepak Chahar,17,2,0,7,7,3.5,9,77.77,0,0,1,0
1665,Trent Boult,5,3,2,7,6,7.0,4,175.0,0,0,0,1
1666,Nikhil Naik,1,1,0,7,7,7.0,16,43.75,0,0,1,0
1667,Ricky Bhui,1,1,0,7,7,7.0,12,58.33,0,0,0,0
1668,Yuzvendra Chahal,14,3,1,6,4,3.0,16,37.5,0,0,0,0
1669,Sandeep Sharma,11,2,2,6,5*,0.0,3,200.0,0,0,1,0
1670,Mayank Markande,3,2,1,6,6,6.0,5,120.0,0,0,1,0
1671,Ish Sodhi,2,1,0,6,6,6.0,11,54.54,0,0,0,0
1672,Jagadeesha Suchith,1,1,0,6,6,6.0,15,40.0,0,0,0,0
1673,Rasikh Salam,1,1,1,5,5*,0.0,4,125.0,0,0,0,0
1674,Karun Nair,1,1,0,5,5,5.0,6,83.33,0,0,0,0
1675,Dhruv Shorey,1,1,0,5,5,5.0,8,62.5,0,0,0,0
1676,Dhawal Kulkarni,10,1,1,5,5*,0.0,3,166.66,0,0,1,0
1677,Mohammed Siraj,9,4,3,4,3*,4.0,14,28.57,0,0,0,0
1678,Hanuma Vihari,2,2,0,4,2,2.0,8,50.0,0,0,0,0
1679,Avesh Khan,1,1,1,4,4*,0.0,3,133.33,0,0,1,0
1680,Hardus Viljoen,6,3,1,3,2*,1.5,7,42.85,0,0,0,0
1681,Murugan Ashwin,10,3,2,3,1*,3.0,5,60.0,0,0,0,0
1682,Varun Aaron,5,1,1,3,3*,0.0,7,42.85,0,0,0,0
1683,Ashton Turner,4,4,1,3,3*,1.0,10,30.0,0,0,0,0
1684,Barinder Sran,2,1,1,3,3*,0.0,3,100.0,0,0,0,0
1685,Navdeep Saini,13,2,1,2,2,2.0,4,50.0,0,0,0,0
1686,Harbhajan Singh,11,1,0,1,1,1.0,3,33.33,0,0,0,0
1687,Harry Gurney,8,1,1,1,1*,0.0,5,20.0,0,0,0,0
1688,Washington Sundar,3,2,0,1,1,0.5,3,33.33,0,0,0,0
1689,Basil Thampi,3,1,1,1,1*,0.0,1,100.0,0,0,0,0
1690,Mohammad Shami,14,2,1,1,1*,1.0,2,50.0,0,0,0,0
1691,Jaydev Unadkat,11,4,3,1,1,1.0,3,33.33,0,0,0,0
1692,Siddarth Kaul,7,2,1,0,0*,0.0,1,0.0,0,0,0,0
1693,Prasidh Krishna,11,1,0,0,0*,0.0,2,0.0,0,0,0,0
1694,Jasprit Bumrah,16,3,3,0,0*,0.0,1,0.0,0,0,0,0
1695,Andrew Tye,6,1,1,0,0*,0.0,2,0.0,0,0,0,0
1696,Sandeep Lamichhane,6,1,0,0,0*,0.0,1,0.0,0,0,0,0
1697,Harshal Patel,2,2,1,0,0*,0.0,2,0.0,0,0,0,0
1698,Mohit Sharma,1,1,1,0,0*,0.0,2,0.0,0,0,0,0
1699,Joe Denly,1,1,0,0,0*,0.0,1,0.0,0,0,0,0
1700,Khaleel Ahmed,9,1,0,0,0*,0.0,1,0.0,0,0,0,0
1701,Sam Billings,1,1,0,0,0*,0.0,4,0.0,0,0,0,0
1702,Prithvi Raj Yarra,2,1,1,0,0*,0.0,1,0.0,0,0,0,0
1703,Mujeeb Ur Rahman,5,3,2,0,0*,0.0,4,0.0,0,0,0,0
1704,KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
1705,Shikhar Dhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
1706,David Warner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14
1707,Shreyas Iyer,17,17,2,519,88*,34.6,421,123.27,0,3,40,16
1708,Ishan Kishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30
1709,Quinton de Kock,16,16,2,503,78*,35.92,358,140.5,0,4,46,22
1710,Suryakumar Yadav,16,15,3,480,79*,40.0,331,145.01,0,4,61,11
1711,Devdutt Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,51,8
1712,Virat Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
1713,AB de Villiers,15,14,4,454,73*,45.4,286,158.74,0,5,33,23
1714,Faf du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14
1715,Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9
1716,Manish Pandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18
1717,Mayank Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
1718,Eoin Morgan,14,14,4,418,68*,41.8,302,138.41,0,1,32,24
1719,Sanju Samson,14,14,1,375,85,28.84,236,158.89,0,3,21,26
1720,Ambati Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,30,12
1721,Nicholas Pooran,14,14,4,353,77,35.3,208,169.71,0,2,23,25
1722,Nitish Rana,14,14,0,352,87,25.14,254,138.58,0,3,43,12
1723,Marcus Stoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16
1724,Jonny Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13
1725,Rishabh Pant,14,14,3,343,56,31.18,301,113.95,0,1,31,9
1726,Rohit Sharma,12,12,0,332,80,27.66,260,127.69,0,3,27,19
1727,Jos Buttler,13,12,2,328,70*,32.8,227,144.49,0,2,27,16
1728,Kane Williamson,12,11,4,317,67,45.28,237,133.75,0,3,26,10
1729,Steve Smith,14,14,2,311,69,25.91,237,131.22,0,3,32,9
1730,Shane Watson,11,11,1,299,83*,29.9,247,121.05,0,2,33,13
1731,Chris Gayle,7,7,0,288,99,41.14,210,137.14,0,3,15,23
1732,Ben Stokes,8,8,1,285,107*,40.71,200,142.5,1,1,36,7
1733,Hardik Pandya,14,13,5,281,60*,35.12,157,178.98,0,1,14,25
1734,Aaron Finch,12,12,0,268,52,22.33,241,111.2,0,1,28,8
1735,Kieron Pollard,16,12,7,268,60*,53.6,140,191.42,0,1,15,22
1736,Rahul Tewatia,14,11,5,255,53,42.5,183,139.34,0,1,13,17
1737,Ravindra Jadeja,14,11,6,232,50,46.4,135,171.85,0,1,22,11
1738,Rahul Tripathi,11,11,1,230,81,23.0,181,127.07,0,1,21,10
1739,Prithvi Shaw,13,13,0,228,66,17.53,167,136.52,0,2,27,8
